Year,State,Crime against Children(Minor),victims_06(Boys),victims_06(Girls),victims_06(Total),victims_06 to 12(Boys),victims_06 to 12(Girls),victims_06 to 12(Total),victims_12 to 16(Boys),victims_12 to 16(Girls),victims_12 to 16(Total),victims_16 to 18(Boys),victims_16 to 18(Girls),victims_16 to 18(Total), total chils victims(Boys),total child victims(Girls),total child victiims(Total),Crime Committed by Juveniles,Illiterate,Upto Primary,Above Primary to Matric,Above Matric to High Secondary,Above Higher Secondary,Total_education,Living with Parents,Living with Guardians,Home-less,Total_Family background
2017,Uttarakhand,829,0,2,2,0,30,30,0,85,85,0,64,64,0,181,181,159,59,48,51,22,2,182,142,22,18,182
2017,West Bengal,6551,0,63,63,6,190,196,3,461,464,0,496,496,9,1210,1219,577,72,173,381,98,9,733,549,113,71,733
2017,A&N Islands,119,0,0,0,3,9,12,0,16,16,0,22,22,3,47,50,16,0,2,19,4,0,25,23,2,0,25
2017,Chandigarh,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,10,46,106,2,0,164,116,46,2,164
2017,Daman & Diu,31,0,2,2,0,0,0,0,3,3,0,1,1,0,6,6,11,0,3,6,6,0,15,15,0,0,15
2017,D&N Haveli,24,0,1,1,0,0,0,0,1,1,0,1,1,0,3,3,10,0,2,12,0,0,14,14,0,0,14
2017,Delhi,7852,1,55,56,8,137,145,2,366,368,0,383,383,11,941,952,2965,810,1217,1403,227,9,3666,3147,279,240,3666
2017,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Lakshadweep,4,0,0,0,0,2,2,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
2017,Puducherry,76,0,1,1,0,7,7,0,13,13,0,20,20,0,41,41,104,0,27,34,35,49,145,137,5,3,145
