Year,State,Crime against Children(Minor),victims_06(Boys),victims_06(Girls),victims_06(Total),victims_06 to 12(Boys),victims_06 to 12(Girls),victims_06 to 12(Total),victims_12 to 16(Boys),victims_12 to 16(Girls),victims_12 to 16(Total),victims_16 to 18(Boys),victims_16 to 18(Girls),victims_16 to 18(Total), total chils victims(Boys),total child victims(Girls),total child victiims(Total),Crime Committed by Juveniles,Illiterate,Upto Primary,Above Primary to Matric,Above Matric to High Secondary,Above Higher Secondary,Total_education,Living with Parents,Living with Guardians,Home-less,Total_Family background
2018,Telangana,3747,0,50,50,0,123,123,0,490,490,0,479,479,0,1142,1142,1408,195,234,725,337,29,1520,1244,71,205,1520
2018,Tripura,271,0,9,9,0,18,18,0,30,30,0,19,19,0,76,76,44,0,27,26,1,0,54,53,1,0,54
2018,Uttar Pradesh,19936,4,50,54,13,258,271,29,685,714,0,1132,1132,46,2125,2171,1048,101,284,369,329,67,1150,859,100,191,1150
2018,Uttarakhand,1306,0,3,3,1,36,37,2,108,110,1,143,144,4,290,294,179,29,73,52,23,12,189,48,62,79,189
2018,West Bengal,6286,0,61,61,10,291,301,3,499,502,0,518,518,13,1369,1382,503,41,169,320,60,1,591,447,70,74,591
2018,A&N Islands,162,1,0,1,0,1,1,0,19,19,0,31,31,1,51,52,25,6,11,14,4,0,35,26,9,0,35
2018,Chandigarh,288,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,137,8,95,89,21,2,215,196,12,7,215
2018,Daman & Diu,38,0,0,0,0,1,1,0,16,16,0,1,1,0,18,18,12,0,6,12,0,0,18,0,18,0,18
2018,D&N Haveli,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,6,6,0,0,6
2018,Delhi,8246,1,40,41,2,128,130,7,441,448,2,380,382,12,989,1001,2727,678,1095,1261,248,33,3315,2775,283,257,3315
2018,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lakshadweep,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,Puducherry,89,0,0,0,0,0,0,0,10,10,0,37,37,0,47,47,10,0,51,23,0,6,80,80,0,0,80
2017,Andhra Pradesh,2397,0,3,3,0,22,22,0,63,63,0,121,121,0,209,209,1122,267,395,626,120,33,1441,1139,119,183,1441
2017,Arunachal Pradesh,138,0,0,0,0,6,6,0,4,4,0,1,1,0,11,11,48,4,20,71,3,0,98,78,20,0,98
2017,Assam,4951,0,7,7,0,157,157,0,308,308,0,326,326,0,798,798,192,55,37,83,16,0,191,116,12,63,191
2017,Bihar,5386,0,2,2,0,44,44,0,126,126,0,427,427,0,599,599,1142,163,212,456,333,183,1347,830,347,170,1347
2017,Chhattisgarh,6518,0,49,49,0,89,89,0,413,413,0,552,552,0,1103,1103,1952,188,852,1149,204,24,2417,1979,325,113,2417
2017,Goa,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,20,6,0,29,27,0,2,29
2017,Gujarat,3955,0,16,16,0,41,41,0,403,403,0,777,777,0,1237,1237,2013,120,609,1398,207,29,2363,2290,33,40,2363
2017,Haryana,4169,3,45,48,19,81,100,12,295,307,4,199,203,38,620,658,1030,125,367,489,146,69,1196,1073,37,86,1196
2017,Himachal Pradesh,528,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,184,10,42,111,45,18,226,201,13,12,226
2017,Jammu & Kashmir,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,5,27,143,80,7,262,244,9,9,262
2017,Jharkhand,1247,0,0,0,0,16,16,0,93,93,0,144,144,0,253,253,75,0,0,78,6,0,84,7,0,77,84
2017,Karnataka,5890,0,37,37,2,139,141,2,511,513,0,666,666,4,1353,1357,499,34,139,368,130,20,691,630,31,30,691
2017,Kerala,3562,0,14,14,8,29,37,24,83,107,8,86,94,40,212,252,481,1,54,327,247,53,682,613,51,18,682
2017,Madhya Pradesh,19038,1,20,21,2,119,121,8,389,397,5,422,427,16,950,966,6491,704,2111,2953,1274,124,7166,5513,774,879,7166
2017,Maharashtra,16918,1,109,110,1,264,265,0,861,861,0,1162,1162,2,2396,2398,6026,524,2234,3385,1312,316,7771,6620,593,558,7771
2017,Manipur,109,0,1,1,0,5,5,3,5,8,0,3,3,3,14,17,12,0,0,7,7,0,14,13,0,1,14
2017,Meghalaya,379,0,24,24,0,40,40,0,57,57,0,46,46,0,167,167,93,12,43,36,23,0,114,94,11,9,114
2017,Mizoram,220,2,26,28,3,39,42,1,47,48,0,18,18,6,130,136,21,0,21,1,0,0,22,7,13,2,22
2017,Nagaland,93,0,2,2,0,10,10,0,14,14,0,2,2,0,28,28,12,0,4,18,0,0,22,13,7,2,22
2017,Odisha,3185,0,0,0,0,0,0,0,40,40,0,110,110,0,150,150,1111,483,468,232,49,10,1242,1242,0,0,1242
2017,Punjab,2133,0,14,14,0,50,50,1,159,160,0,152,152,1,375,376,215,35,59,123,47,6,270,247,1,22,270
2017,Rajasthan,5180,0,9,9,1,37,38,1,248,249,0,326,326,2,620,622,2048,244,549,1198,455,246,2692,2232,341,119,2692
2017,Sikkim,190,0,6,6,0,22,22,0,34,34,0,7,7,0,69,69,24,0,13,23,0,0,36,21,14,1,36
2017,Tamil Nadu,3529,4,32,36,5,98,103,7,372,379,3,646,649,19,1148,1167,2376,123,601,1559,519,117,2919,2705,121,93,2919
2017,Telangana,3580,0,21,21,0,84,84,0,378,378,0,540,540,0,1023,1023,1365,193,233,403,361,65,1255,998,98,159,1255
2017,Tripura,276,0,6,6,0,24,24,0,45,45,0,31,31,0,106,106,37,1,21,15,0,0,37,37,0,0,37
2017,Uttar Pradesh,19145,5,72,77,17,298,315,7,707,714,0,515,515,29,1592,1621,825,82,158,282,276,91,889,582,76,231,889
